# {"t_start": 1542853116.1287324, "env_id": "DemonAttackNoFrameskip-v0"} 
r,l,t
400.0,1740,20.82945
265.0,1508,34.796699
90.0,809,42.912853
120.0,870,52.070044
40.0,410,56.207019
205.0,1895,73.8437
205.0,1063,84.720326
90.0,2220,106.951741
160.0,1001,116.194364
100.0,979,126.167436
160.0,984,136.739957
175.0,1932,154.904421
235.0,1042,165.364492
120.0,948,175.397734
120.0,1546,190.278066
110.0,2818,219.005955
90.0,622,225.014277
20.0,201,226.881494
130.0,613,232.531686
130.0,1322,245.260128
120.0,784,253.519947
110.0,583,259.759604
220.0,1676,275.746649
280.0,1958,295.833777
160.0,989,305.801175
80.0,593,311.390805
120.0,679,317.700715
355.0,1896,337.486922
130.0,794,345.318461
140.0,1284,357.448428
130.0,891,366.505316
100.0,774,374.865518
130.0,514,380.205018
130.0,883,388.476676
140.0,698,395.092719
370.0,2415,420.204578
205.0,1912,438.62072
90.0,843,447.441733
310.0,1106,458.825238
50.0,508,463.564269
100.0,1068,473.745913
150.0,1011,484.33863
50.0,348,487.975229
190.0,905,497.144446
60.0,462,501.446168
100.0,383,504.944799
90.0,495,509.488366
40.0,221,511.699907
120.0,768,519.722331
140.0,1117,531.648276
235.0,932,540.395358
50.0,462,544.754612
190.0,989,554.522895
110.0,644,561.331298
235.0,859,570.466232
280.0,1139,581.255355
60.0,386,584.895046
50.0,233,587.058584
265.0,1142,599.084352
220.0,1321,612.563796
80.0,511,617.313703
265.0,870,625.629791
250.0,977,635.84625
70.0,608,642.360721
40.0,230,644.770694
70.0,445,648.927499
280.0,943,657.780939
160.0,1156,669.388868
40.0,350,673.033191
100.0,531,678.761901
130.0,463,683.607313
100.0,605,689.270339
80.0,381,692.778891
385.0,1346,706.161538
120.0,643,712.943559
280.0,1271,725.943509
190.0,905,734.515459
100.0,528,739.708875
110.0,514,744.994236
50.0,320,748.318213
110.0,705,755.90393
340.0,1536,770.6485
40.0,234,772.773772
120.0,598,778.764299
140.0,646,785.399748
90.0,608,791.955255
130.0,717,799.188171
100.0,748,806.229241
50.0,314,809.109084
160.0,632,815.430396
295.0,1321,829.487837
310.0,1322,842.359384
295.0,996,851.941933
70.0,431,856.380058
90.0,515,861.745982
280.0,1251,874.786706
110.0,893,883.200944
190.0,949,892.388521
175.0,986,902.853194
30.0,272,905.700409
140.0,633,912.09386
140.0,670,918.382217
175.0,845,926.33323
70.0,287,929.09288
160.0,1241,942.254627
140.0,754,950.135773
280.0,1453,963.885572
110.0,623,970.103485
340.0,1348,984.419857
130.0,615,990.571013
235.0,788,998.023332
90.0,708,1004.677161
130.0,579,1010.668123
190.0,929,1020.602356
90.0,593,1026.780391
140.0,807,1034.363147
100.0,863,1042.525371
295.0,1347,1056.84416
295.0,1072,1067.746591
190.0,1089,1077.998664
30.0,339,1081.226796
190.0,1097,1091.89208
70.0,303,1095.044937
100.0,427,1099.61491
220.0,949,1109.150579
140.0,668,1115.410224
310.0,1028,1125.067017
480.0,1655,1142.0179
110.0,612,1148.316025
140.0,702,1154.866834
40.0,236,1157.009875
220.0,1006,1166.549933
235.0,952,1175.632873
220.0,1040,1186.675318
140.0,604,1192.695108
50.0,395,1196.343392
190.0,1102,1206.725529
190.0,1090,1217.203869
120.0,1217,1230.211622
325.0,1238,1241.894331
420.0,1682,1257.931674
355.0,1464,1273.346613
235.0,1245,1285.110191
340.0,1403,1298.498642
150.0,891,1307.309159
355.0,1437,1321.963887
110.0,874,1330.184705
540.0,1580,1345.185406
1420.0,2652,1371.692779
680.0,1565,1386.461261
500.0,1558,1402.561892
265.0,1296,1414.816858
140.0,721,1421.706066
110.0,764,1428.823385
340.0,1506,1443.973151
340.0,1461,1458.533917
355.0,1579,1473.934053
280.0,1350,1488.065612
500.0,1582,1504.099774
280.0,1537,1519.022699
120.0,581,1524.383607
385.0,1250,1537.449877
370.0,1400,1550.791161
920.0,5435,1604.699251
150.0,987,1615.013594
340.0,1229,1627.246608
220.0,1036,1637.016262
400.0,1449,1651.633537
250.0,997,1662.139543
295.0,1563,1676.831151
370.0,1616,1692.837553
130.0,865,1702.110889
150.0,731,1709.01368
205.0,1082,1719.252141
220.0,1642,1735.534331
90.0,533,1741.156383
265.0,1124,1752.650539
150.0,1370,1765.631232
90.0,483,1770.163219
860.0,1515,1785.633878
150.0,875,1794.130817
235.0,1062,1804.098677
325.0,1222,1815.561883
100.0,601,1821.480473
220.0,1386,1835.801229
980.0,1657,1851.447288
235.0,1347,1864.235681
220.0,1319,1878.030266
385.0,1262,1889.938739
440.0,1621,1905.167236
130.0,692,1912.184405
440.0,1767,1929.793645
220.0,1419,1943.254144
120.0,634,1949.248771
250.0,963,1959.189033
295.0,911,1968.322619
820.0,2595,1993.083765
220.0,1143,2004.975983
120.0,699,2011.79884
325.0,1690,2027.779568
150.0,713,2034.846129
385.0,2135,2056.528749
175.0,942,2065.385181
220.0,771,2073.047519
205.0,914,2082.456406
355.0,1536,2097.895687
1740.0,3000,2128.153072
540.0,1878,2146.08214
680.0,1928,2165.531811
1240.0,2677,2191.696416
840.0,2579,2217.995242
295.0,1324,2230.536375
1420.0,2143,2252.687419
140.0,810,2260.256479
460.0,1645,2276.034586
150.0,952,2285.832194
420.0,2760,2312.689475
190.0,917,2321.605016
130.0,642,2328.420357
295.0,1289,2341.156529
310.0,1495,2355.383993
110.0,954,2364.846196
295.0,1136,2376.695632
310.0,1521,2390.985561
1020.0,2050,2411.417618
800.0,1981,2430.752537
280.0,1321,2443.417195
265.0,906,2452.537917
900.0,2100,2473.10837
340.0,1286,2485.302929
520.0,1531,2500.917913
150.0,693,2507.587023
920.0,2556,2532.501205
2120.0,3236,2564.604653
500.0,1580,2580.934518
100.0,677,2587.584665
620.0,1969,2606.524829
340.0,1985,2626.944174
355.0,1574,2641.762266
355.0,1494,2657.093342
520.0,1887,2675.839697
740.0,1825,2693.916463
235.0,1185,2706.441134
3025.0,3164,2737.694921
2040.0,3406,2771.0453
1140.0,2440,2795.686079
160.0,1007,2805.250629
385.0,1358,2819.185322
520.0,1716,2836.205938
325.0,1312,2848.772734
295.0,1344,2862.463134
820.0,2200,2883.798048
1160.0,2194,2905.998531
100.0,596,2911.868107
310.0,1137,2922.74672
150.0,1153,2933.856946
640.0,1580,2949.955789
600.0,1910,2968.491773
1300.0,2263,2991.162428
1280.0,1843,3008.807352
540.0,1821,3026.501418
1860.0,2515,3051.46305
1700.0,2388,3075.121355
420.0,1453,3089.385897
1500.0,2631,3115.072288
1040.0,2355,3138.098658
1620.0,2441,3162.897967
1540.0,2359,3186.438992
370.0,1408,3200.976428
