# {"t_start": 1543025644.4589853, "env_id": "DemonAttackNoFrameskip-v0"} 
r,l,t
235.0,4110,36.610848
160.0,940,44.607753
190.0,1514,57.642906
90.0,492,61.505969
190.0,1215,72.177936
400.0,1754,86.762714
110.0,562,91.902665
250.0,1108,100.965612
220.0,1675,115.500579
440.0,1922,132.100866
400.0,1736,146.521161
175.0,1068,156.104594
60.0,477,159.653286
175.0,1077,169.171241
100.0,681,174.847819
100.0,912,182.723307
370.0,1352,194.133428
80.0,509,198.530795
175.0,852,206.129279
540.0,1558,219.368939
220.0,1074,228.413236
1000.0,2008,245.779526
205.0,1181,255.919641
900.0,2484,277.458103
265.0,1269,288.538206
400.0,1871,304.484921
130.0,785,311.229003
660.0,2166,329.825447
90.0,814,336.635696
325.0,1226,347.497811
295.0,935,355.44444
355.0,1480,368.343547
235.0,1016,376.751816
80.0,664,382.882335
340.0,1500,395.608166
110.0,840,403.161368
760.0,1534,416.103297
120.0,774,422.210422
250.0,792,429.392505
385.0,1431,441.774385
310.0,1196,451.962226
110.0,565,456.637844
295.0,1281,467.680277
385.0,1640,481.809972
1080.0,1741,496.872489
60.0,389,500.142811
120.0,462,504.311907
235.0,895,512.075134
280.0,1112,521.143648
100.0,1068,530.325631
385.0,1943,547.071937
680.0,2076,565.403292
130.0,973,573.506299
1040.0,1885,589.570572
140.0,747,595.642648
280.0,1317,607.441315
580.0,1543,620.699007
130.0,558,625.3822
295.0,1495,638.176197
80.0,481,642.296989
460.0,1616,656.403826
385.0,1344,667.814571
140.0,565,672.496623
340.0,1057,681.405457
280.0,1473,694.460398
1300.0,2272,713.661418
440.0,1408,725.818404
295.0,1364,737.846089
900.0,1627,751.449079
2145.0,2134,769.835161
2640.0,3069,796.550655
295.0,1151,806.409663
120.0,557,811.110176
640.0,1428,823.265657
540.0,1633,837.594445
1040.0,1676,852.15993
2240.0,2699,875.288417
820.0,1828,890.778901
620.0,1818,906.342352
385.0,1529,919.432702
480.0,1407,931.183484
150.0,482,935.458168
840.0,1690,949.9978
400.0,1227,960.526054
90.0,486,964.536451
860.0,1621,978.659738
385.0,1395,990.905905
100.0,528,995.473699
250.0,1068,1004.564713
1560.0,2468,1025.720145
900.0,1787,1041.325487
1320.0,1889,1057.696622
1880.0,2803,1081.552005
295.0,1123,1091.497185
1080.0,1575,1104.747769
340.0,1585,1118.318511
1260.0,2356,1138.985322
205.0,965,1146.985612
1360.0,2604,1169.300211
340.0,1483,1182.43526
2635.0,2671,1205.669449
325.0,1198,1215.929701
2120.0,2561,1238.185487
760.0,1693,1252.49708
1040.0,2031,1269.464607
1060.0,1995,1286.908191
3200.0,3556,1317.753748
1160.0,2135,1335.904038
920.0,1888,1352.18142
385.0,1207,1362.519294
980.0,2398,1383.523499
1680.0,2095,1401.477402
580.0,1591,1414.935452
680.0,1394,1426.999627
2880.0,2793,1451.151348
1300.0,2117,1469.223485
1400.0,2160,1487.876373
340.0,1240,1498.371322
2000.0,2718,1521.956957
175.0,932,1530.39728
460.0,1505,1542.816079
840.0,1484,1555.76299
720.0,1890,1571.772001
880.0,1766,1587.213868
1040.0,2098,1605.14969
1420.0,2421,1626.36217
1400.0,2391,1647.223627
620.0,1546,1660.62377
860.0,1598,1674.085569
1720.0,2056,1691.981103
295.0,1213,1702.245919
130.0,614,1707.691556
370.0,1220,1717.933727
1880.0,2689,1740.942235
1940.0,2529,1762.888105
3325.0,3386,1791.975818
1940.0,2287,1811.840886
2040.0,2405,1832.269109
980.0,1909,1848.621081
1820.0,2644,1871.54411
2020.0,2811,1895.980507
1080.0,2006,1912.955876
1320.0,2052,1930.593033
5050.0,4034,1965.452559
4030.0,3924,1999.204354
3960.0,4013,2033.87863
1720.0,2721,2057.321285
1580.0,2267,2077.206595
3020.0,2973,2102.385471
3185.0,3356,2131.216093
1360.0,2296,2150.704269
370.0,1378,2162.752255
840.0,1526,2176.089268
2920.0,3082,2202.850484
2120.0,2308,2222.774358
1400.0,2197,2241.769977
1120.0,2177,2260.541346
3120.0,3689,2291.937045
1960.0,2430,2312.932586
370.0,1115,2322.47268
4520.0,3740,2354.789608
2215.0,2723,2378.425089
1620.0,2847,2403.050696
4420.0,3264,2430.641954
3280.0,2873,2455.317748
500.0,1608,2468.921163
5250.0,4894,2511.179455
840.0,1662,2525.486168
2445.0,2432,2546.666224
6530.0,4037,2581.406992
2980.0,2636,2604.475713
5560.0,3871,2637.992724
1860.0,2070,2655.587165
1000.0,1902,2671.443005
3055.0,3033,2697.622957
2000.0,2550,2719.757213
6020.0,3966,2753.707852
2735.0,2588,2776.026614
2160.0,2235,2794.901754
1460.0,2422,2815.83477
1060.0,1503,2828.478374
1020.0,1398,2840.345273
4460.0,3569,2871.137816
5500.0,4004,2905.659097
5120.0,3745,2937.882622
4980.0,3610,2969.071039
3690.0,3152,2996.044517
5610.0,3541,3026.253468
3190.0,2865,3050.780878
1320.0,1824,3066.249101
3360.0,2992,3092.564147
1440.0,2306,3112.257394
1760.0,2128,3130.292375
2160.0,2560,3152.305635
6935.0,5415,3199.081669
2120.0,2251,3218.242803
4010.0,3720,3250.415701
4270.0,3468,3280.312801
4740.0,3528,3311.195084
1700.0,1891,3327.317154
310.0,1145,3337.249505
1540.0,2645,3360.23708
3345.0,2651,3382.585289
3500.0,3318,3411.197451
2565.0,2471,3432.525526
3585.0,3306,3461.061161
920.0,1469,3473.502226
250.0,843,3481.008812
880.0,1649,3494.781295
5325.0,3338,3523.400541
1920.0,2190,3542.308239
580.0,1542,3555.405792
1460.0,1982,3572.922052
5440.0,3860,3605.478538
5040.0,3271,3633.477728
3665.0,3104,3660.22302
2980.0,2534,3682.192216
580.0,1493,3694.855116
1840.0,1971,3711.655182
4310.0,3688,3743.728025
5290.0,3733,3775.842565
5550.0,3915,3809.415814
2625.0,2540,3830.899088
2160.0,1981,3847.298295
1380.0,1584,3861.294495
4400.0,3802,3893.643245
4115.0,3355,3922.585115
3570.0,3021,3949.047845
1880.0,2329,3969.111766
2855.0,2915,3993.915022
2680.0,2639,4017.021275
4055.0,3266,4045.275128
1800.0,2017,4063.096287
1080.0,2042,4080.826646
6475.0,3874,4113.925715
3615.0,3066,4139.905694
1980.0,2159,4158.517644
5270.0,4907,4200.194013
2160.0,2206,4219.256515
4370.0,3337,4248.195417
1380.0,1949,4264.872275
3405.0,3130,4292.174533
2820.0,2728,4315.639
6900.0,4274,4351.979396
1900.0,2394,4372.852406
160.0,804,4379.605871
5700.0,3924,4412.995631
3650.0,3049,4439.550247
2365.0,2491,4460.905928
6090.0,3794,4493.325506
8075.0,4744,4533.673816
120.0,663,4539.231504
4480.0,3591,4570.233706
5090.0,3469,4600.160424
740.0,1753,4615.488126
480.0,1121,4625.188266
3535.0,2668,4647.975822
5130.0,3381,4677.088562
1800.0,1845,4693.184245
6710.0,3560,4723.284088
4510.0,3920,4757.341136
2765.0,2777,4780.909322
8440.0,4329,4818.464081
6010.0,4105,4853.916541
1960.0,2002,4871.074189
5040.0,3866,4904.593313
355.0,1341,4916.552606
4890.0,3520,4946.976695
1380.0,1817,4962.392704
6190.0,3869,4995.470182
4190.0,3009,5021.241075
1120.0,1614,5035.441147
5430.0,3562,5066.364387
5860.0,3256,5094.564704
4755.0,2899,5119.438996
385.0,1198,5130.147888
150.0,529,5134.663495
5590.0,3326,5162.712594
6670.0,3900,5196.743967
9930.0,5607,5244.599876
4650.0,3361,5273.324725
420.0,1092,5283.094002
6810.0,4219,5319.037887
5060.0,3275,5347.822446
4065.0,2923,5372.965772
2550.0,2462,5394.286636
5010.0,3166,5421.454026
5020.0,3344,5450.29317
7450.0,4375,5488.129664
7555.0,4243,5524.94689
6630.0,4448,5563.665686
4550.0,3195,5590.888846
2060.0,1859,5607.393432
5710.0,3469,5637.564013
6280.0,3760,5669.682691
5380.0,4247,5706.317334
4810.0,3531,5736.667081
6210.0,4185,5773.205357
480.0,1341,5784.527057
5720.0,4033,5819.529636
4230.0,3284,5847.643004
540.0,1468,5859.846085
6910.0,3852,5892.656105
5080.0,3523,5923.465918
8380.0,4728,5963.497624
5810.0,3697,5995.143499
5750.0,3387,6024.358993
3830.0,2910,6049.422912
6450.0,3861,6082.67889
7630.0,4479,6121.32207
6650.0,3861,6154.21876
7350.0,4037,6188.964191
9860.0,5472,6235.703602
1660.0,2245,6254.881856
5460.0,3277,6282.217302
6845.0,4880,6324.571843
6280.0,3970,6358.944209
7050.0,3895,6392.278215
5610.0,3602,6423.21852
9125.0,4671,6464.051888
7140.0,4125,6499.657464
8235.0,4526,6538.352936
8020.0,4419,6576.097354
5990.0,3988,6610.725672
4980.0,3327,6639.483468
7540.0,4048,6674.02561
4530.0,3024,6700.397997
