# {"t_start": 1542767622.2667773, "env_id": "PongNoFrameskip-v0"} 
r,l,t
-21.0,879,12.855289
-21.0,779,21.236513
-20.0,838,29.269355
-20.0,866,38.743011
-20.0,899,48.519464
-21.0,875,56.843604
-20.0,866,66.105247
-21.0,779,74.673226
-20.0,1031,84.585832
-20.0,863,93.852371
-20.0,956,104.113925
-21.0,760,111.372929
-20.0,960,121.750397
-21.0,940,131.779176
-21.0,1052,142.03125
-21.0,791,150.85158
-21.0,1029,161.573081
-19.0,979,171.072749
-21.0,757,179.201456
-21.0,764,187.675207
-21.0,759,195.011736
-21.0,761,202.269714
-21.0,758,210.494235
-21.0,763,218.959805
-21.0,763,226.601861
-21.0,882,235.006124
-21.0,822,243.612926
-21.0,911,253.737807
-20.0,1154,265.092532
-21.0,971,274.808203
-21.0,908,284.671743
-21.0,1051,295.664053
-21.0,819,303.454597
-20.0,891,312.559736
-21.0,970,323.156362
-21.0,915,332.509225
-20.0,859,340.710368
-18.0,1029,351.431905
-19.0,960,362.143205
-18.0,1132,373.20306
-20.0,874,381.836987
-21.0,879,391.362176
-20.0,947,401.554188
-19.0,1159,412.688537
-20.0,852,421.555306
-20.0,868,431.164678
-20.0,868,440.015209
-21.0,930,448.988593
-20.0,924,458.563386
-20.0,1020,469.830059
-21.0,950,479.240656
-20.0,902,488.001328
-21.0,807,496.680839
-20.0,1004,507.692372
-20.0,963,516.928625
-19.0,1081,528.101037
-21.0,943,538.632205
-20.0,914,547.676153
-19.0,1036,558.088015
-21.0,1032,569.44593
-21.0,881,578.515134
-21.0,972,587.888207
-21.0,928,597.968477
-20.0,1003,608.959129
-20.0,1129,619.793582
-20.0,900,629.267992
-20.0,979,640.149577
-20.0,852,648.552506
-21.0,878,657.111641
-19.0,1039,668.430535
-19.0,1118,680.218904
-20.0,1093,690.900935
-18.0,1293,704.94993
-21.0,870,714.002515
-20.0,1149,725.122648
-20.0,1079,736.86442
-19.0,1195,749.367465
-18.0,1278,761.971926
-17.0,1311,776.490665
-16.0,1596,792.134437
-17.0,1474,807.863573
-21.0,1062,818.998125
-18.0,1477,833.534619
-17.0,1453,849.471554
-20.0,1211,861.228747
-20.0,1255,874.090811
-18.0,1354,888.710852
-20.0,1302,901.30955
-19.0,1290,914.917943
-19.0,1304,928.475752
-21.0,1410,942.247758
-20.0,1219,955.381793
-20.0,1626,971.56947
-20.0,1554,986.874975
-17.0,1641,1004.397915
-21.0,1435,1018.348884
-17.0,1638,1035.588686
-17.0,1957,1054.919492
-18.0,1359,1068.182005
-18.0,1604,1085.227392
-12.0,2108,1105.511556
-17.0,1369,1119.795253
-16.0,1476,1134.546697
-21.0,1316,1147.3029
-21.0,1516,1162.634777
-16.0,1697,1179.688165
-16.0,1763,1196.628923
-18.0,1545,1212.829196
-20.0,1377,1226.246919
-18.0,1823,1243.699866
-19.0,1738,1261.872435
-16.0,1898,1280.210585
-19.0,1561,1294.868635
-15.0,1966,1315.050211
-19.0,1623,1330.728456
-20.0,1997,1350.27643
-11.0,2760,1377.428387
-14.0,2358,1400.503586
-17.0,1948,1419.656097
-9.0,2355,1442.424494
-16.0,1920,1461.545544
-19.0,2058,1481.373929
-18.0,1573,1497.262908
-12.0,2161,1518.667976
-17.0,1719,1535.733826
-19.0,1578,1551.66356
-14.0,2276,1573.894146
-16.0,2196,1596.572159
-11.0,2133,1617.326048
-14.0,2286,1641.229712
-16.0,2248,1663.343238
-13.0,2373,1687.828914
-14.0,2016,1707.754014
-12.0,2640,1734.697944
-19.0,1915,1754.145175
-12.0,2329,1777.578535
-14.0,2068,1798.763077
-16.0,2215,1820.716329
-15.0,1902,1839.792093
-17.0,2085,1860.761273
-20.0,1762,1877.502957
-15.0,2413,1902.225854
-18.0,2000,1921.136436
-15.0,2404,1945.079975
-12.0,2558,1969.448234
-14.0,2463,1995.084731
-12.0,2589,2020.755219
-18.0,1816,2039.511092
-18.0,2179,2061.27873
-18.0,2214,2083.864601
-13.0,2526,2109.910859
-12.0,2491,2134.301661
-13.0,2043,2155.627539
-17.0,1912,2174.262901
-10.0,2540,2200.423789
-9.0,2791,2228.690532
-16.0,1924,2247.627863
-16.0,1984,2268.112826
-15.0,2840,2296.382251
-18.0,1768,2315.273913
-16.0,2237,2337.231775
-13.0,2893,2366.924717
-9.0,2759,2395.197722
-16.0,2120,2415.847217
-14.0,2161,2438.458844
-17.0,2242,2460.502654
-14.0,2643,2487.802047
-15.0,2221,2509.70464
-14.0,2485,2535.002855
-15.0,2350,2558.765325
-11.0,2595,2584.514702
-7.0,2772,2612.973075
-16.0,2135,2633.82006
-17.0,1938,2653.985925
-11.0,2469,2678.003759
-13.0,2181,2700.428046
-16.0,2090,2720.86443
-17.0,2326,2744.687066
-8.0,3169,2777.128625
-4.0,3442,2811.325114
-5.0,3074,2841.924637
-15.0,2214,2865.044521
-19.0,1968,2884.272962
-16.0,2092,2906.120431
-18.0,2034,2926.025944
-17.0,2489,2951.764209
-13.0,2313,2974.660614
-10.0,2991,3004.697541
-4.0,3860,3043.823016
-13.0,2255,3066.920655
-10.0,3580,3102.085251
-8.0,3807,3140.470862
-16.0,2246,3163.632655
-14.0,3069,3194.435172
-10.0,2703,3221.252954
-10.0,2994,3252.078963
-4.0,3781,3290.626998
