# {"t_start": 1542545952.9685123, "env_id": "PongNoFrameskip-v0"} 
r,l,t
-21.0,821,9.340967
-20.0,1043,18.881158
-21.0,939,27.54552
-20.0,887,35.753222
-20.0,863,43.851925
-20.0,936,52.281711
-20.0,1108,62.638526
-20.0,931,71.081614
-21.0,847,79.062871
-20.0,945,87.596197
-20.0,982,96.875768
-20.0,925,105.44815
-20.0,1008,114.804829
-20.0,1052,124.396067
-21.0,822,131.770263
-20.0,1001,141.108151
-20.0,832,149.041661
-21.0,938,157.525628
-20.0,838,165.49419
-18.0,1204,176.466641
-19.0,934,184.946321
-20.0,954,194.044657
-21.0,870,202.242451
-20.0,1006,211.245962
-18.0,1229,222.765141
-21.0,1035,232.242496
-19.0,1662,247.52964
-16.0,1685,262.995306
-18.0,1391,275.844382
-16.0,1599,290.330213
-21.0,1646,305.553352
-15.0,1755,321.803168
-15.0,1908,339.448342
-19.0,1581,353.826034
-17.0,1679,369.199469
-18.0,1718,385.29552
-19.0,1936,402.9753
-20.0,1838,419.701573
-17.0,2175,439.71432
-15.0,2146,459.565461
-13.0,2471,482.157661
-20.0,1992,500.643731
-20.0,1937,518.565232
-13.0,2397,541.165346
-17.0,2052,560.424811
-17.0,2236,580.803033
-19.0,2044,599.55215
-18.0,2321,620.804085
-18.0,2317,642.023935
-18.0,2681,666.661871
-18.0,2376,688.76629
-16.0,2847,714.776718
-17.0,2477,737.416437
-14.0,2500,760.651931
-13.0,2688,785.287691
-15.0,2599,809.563482
-17.0,2015,828.331318
-15.0,2319,849.58874
-14.0,2093,868.595167
-6.0,2692,893.615156
-16.0,2294,914.907928
-16.0,2270,935.877534
-16.0,1933,953.544301
-7.0,2929,980.515571
-12.0,2502,1003.186189
-14.0,2121,1022.911112
-5.0,2920,1049.81521
-2.0,3499,1081.769984
-9.0,2579,1105.352883
-12.0,2468,1127.89781
-13.0,2482,1151.049716
1.0,3233,1180.558434
-14.0,1882,1197.91991
-7.0,2698,1222.983328
6.0,2792,1248.926254
-9.0,2623,1272.700994
-11.0,2309,1295.122488
-11.0,2770,1322.442738
-5.0,2791,1348.456025
-1.0,3354,1380.209192
-4.0,3362,1411.5337
-13.0,2580,1435.90011
-7.0,3334,1467.29963
-10.0,2986,1495.597722
-10.0,2896,1523.395315
-12.0,2800,1550.036593
-21.0,993,1559.601963
-9.0,3176,1589.485402
-4.0,3412,1622.215861
-10.0,2990,1650.508771
-4.0,3540,1684.671781
1.0,3363,1716.663804
-8.0,3137,1746.994548
-13.0,2342,1769.158915
3.0,3538,1803.067848
-2.0,3194,1833.599271
3.0,3410,1865.678825
-7.0,2848,1892.786865
-6.0,2669,1918.912923
-4.0,3010,1948.337963
