# {"t_start": 1543029809.5117328, "env_id": "QbertNoFrameskip-v0"} 
r,l,t
275.0,319,7.537292
150.0,256,10.57408
200.0,357,14.915203
0.0,282,18.477175
275.0,338,22.62187
200.0,320,26.106257
275.0,346,30.052001
400.0,475,36.145048
325.0,305,40.023309
375.0,362,44.855685
325.0,327,48.84721
200.0,338,52.678832
0.0,286,56.014457
0.0,274,59.512586
50.0,298,63.263468
175.0,387,68.440926
50.0,320,72.701192
325.0,305,76.274145
250.0,285,79.560809
325.0,362,83.842753
75.0,307,87.730068
150.0,317,91.842665
600.0,466,97.975601
75.0,263,101.318146
225.0,347,105.384305
350.0,312,108.976438
50.0,300,112.398563
225.0,309,116.32073
125.0,301,120.167971
275.0,484,126.492743
50.0,301,130.364831
250.0,355,134.46451
225.0,347,138.492309
250.0,301,142.075264
200.0,281,145.7391
50.0,295,149.597117
200.0,330,153.976246
225.0,363,158.699136
350.0,390,163.238383
125.0,309,166.723344
225.0,367,171.277796
200.0,318,175.401033
275.0,360,180.115742
300.0,323,184.400776
250.0,364,188.838337
275.0,316,192.585162
550.0,395,197.152518
375.0,416,202.371215
150.0,273,205.827213
175.0,317,210.015626
225.0,364,214.858549
150.0,357,219.056989
200.0,322,222.885794
275.0,310,226.442483
350.0,369,231.104467
675.0,455,237.045596
275.0,380,242.053538
225.0,301,245.851824
450.0,445,251.067231
150.0,333,254.8967
200.0,403,259.896653
400.0,428,265.415469
300.0,394,270.689654
225.0,317,274.795599
275.0,326,278.501928
275.0,319,282.220366
375.0,404,287.01318
300.0,307,290.931141
300.0,301,294.865387
250.0,301,298.856734
275.0,360,303.479376
350.0,382,307.850113
125.0,265,310.919647
125.0,262,313.874759
175.0,294,317.70787
275.0,398,322.73334
150.0,296,326.583609
225.0,306,330.652825
150.0,315,334.391738
250.0,340,338.39169
225.0,332,342.216877
300.0,309,346.068037
225.0,293,349.883003
250.0,386,354.923917
175.0,311,359.10007
225.0,358,363.489035
125.0,275,366.603506
200.0,357,370.717109
250.0,346,374.977047
250.0,400,380.099305
425.0,399,385.459368
75.0,273,388.978881
350.0,353,393.273507
250.0,349,397.375633
275.0,305,400.980025
225.0,288,404.690639
275.0,309,408.468488
250.0,292,412.270093
325.0,381,417.357098
300.0,394,422.161844
225.0,303,425.739287
125.0,309,429.3856
125.0,263,432.357929
225.0,327,436.699304
225.0,302,440.657614
325.0,386,445.780291
200.0,284,449.49305
300.0,310,453.0687
225.0,320,456.751781
225.0,347,460.812963
700.0,418,466.355182
250.0,319,470.392898
250.0,312,474.472588
300.0,342,478.92755
150.0,288,482.192725
350.0,386,486.790543
675.0,423,491.945815
125.0,277,495.398975
700.0,516,502.195482
125.0,265,505.634152
125.0,305,509.473249
600.0,385,513.910409
200.0,368,518.266252
200.0,307,522.181374
350.0,412,527.533918
450.0,446,533.484415
150.0,282,537.000816
225.0,292,540.385794
225.0,308,543.98353
200.0,290,547.314164
700.0,428,552.860699
325.0,328,557.205508
125.0,312,561.262281
325.0,331,565.495771
275.0,353,569.613781
650.0,424,574.618983
225.0,313,578.575002
150.0,294,582.309065
225.0,348,586.951622
75.0,272,590.481486
375.0,418,595.639647
250.0,338,599.650911
350.0,365,603.819146
275.0,307,607.808278
250.0,327,612.059614
300.0,347,616.641669
400.0,394,621.709367
250.0,310,625.312601
225.0,286,628.672169
625.0,381,633.322549
250.0,334,637.614288
225.0,367,642.485556
300.0,341,646.938658
400.0,513,653.200314
150.0,271,656.284386
225.0,303,659.896481
425.0,388,664.880156
325.0,373,669.804332
300.0,357,674.38339
275.0,313,678.295779
125.0,311,681.907978
225.0,413,686.903169
200.0,332,691.175616
300.0,337,695.580127
300.0,307,699.649272
300.0,336,703.867223
175.0,351,707.947088
300.0,379,712.314244
150.0,305,716.265091
375.0,378,721.090378
175.0,331,725.50984
200.0,296,729.449047
200.0,351,733.546288
375.0,379,737.909266
275.0,411,743.231348
250.0,307,747.227714
175.0,341,751.653689
325.0,392,756.68718
175.0,307,760.276403
175.0,310,763.866068
50.0,302,767.729367
300.0,370,772.49604
775.0,511,779.281052
125.0,255,782.467556
175.0,291,785.901938
300.0,361,790.022588
