# {"t_start": 1542927528.4491506, "env_id": "DemonAttackNoFrameskip-v0"} 
r,l,t
280.0,3668,54.480065
325.0,1440,67.273344
120.0,1059,76.692249
40.0,494,81.173853
220.0,978,90.383558
150.0,1379,102.300866
110.0,646,108.070449
100.0,951,117.067381
220.0,1457,131.358153
1320.0,2221,150.728766
340.0,1469,164.089051
540.0,2308,183.911988
355.0,1803,199.771025
540.0,1787,215.555686
140.0,793,222.363941
130.0,734,228.963266
295.0,1358,241.043579
520.0,1875,257.236836
520.0,1401,269.564102
325.0,1743,284.56266
150.0,910,292.450354
60.0,284,295.326495
100.0,564,300.077968
480.0,2962,326.04807
175.0,1100,335.319361
370.0,1726,350.735548
1100.0,1967,367.773641
325.0,1407,380.198227
90.0,692,386.033732
370.0,1228,397.045901
40.0,474,400.862275
480.0,2308,421.174479
235.0,924,429.088434
140.0,1092,438.890544
160.0,890,446.756621
40.0,282,449.10066
325.0,1214,459.48604
220.0,948,467.531923
100.0,500,472.135839
440.0,1399,484.51245
340.0,1335,495.828948
150.0,909,503.739889
120.0,873,511.442952
1160.0,2008,529.141781
220.0,848,536.180619
280.0,960,544.836915
140.0,699,550.660963
310.0,1425,562.849047
385.0,1287,574.071375
205.0,835,580.987631
175.0,817,588.348439
400.0,1388,599.605495
340.0,1442,612.270729
385.0,1257,622.661055
205.0,802,629.463758
340.0,1321,641.344815
1200.0,1899,657.325428
310.0,1165,667.418509
120.0,605,672.68625
1260.0,2071,690.560031
310.0,1205,700.829316
385.0,1453,713.781865
460.0,1323,725.010414
1220.0,2507,746.042238
370.0,1470,758.919677
150.0,796,765.757792
370.0,1200,775.774531
980.0,1702,790.398651
340.0,1117,800.154198
3865.0,4128,835.947181
420.0,1476,848.430357
140.0,813,855.067473
280.0,899,862.777535
660.0,1600,876.663868
280.0,1327,887.730829
800.0,1870,903.930608
580.0,1533,916.751543
110.0,466,920.964067
1040.0,1964,937.787122
280.0,1165,947.932287
1820.0,2314,967.850242
1620.0,2724,991.212867
580.0,1498,1004.275803
1280.0,1464,1016.563377
1240.0,2050,1034.201319
620.0,1845,1049.851703
1160.0,1868,1066.088074
1580.0,2248,1085.22929
385.0,1519,1098.204197
385.0,1239,1109.022449
2525.0,2714,1132.518335
385.0,1381,1144.180846
540.0,1467,1157.124119
700.0,1595,1170.531094
130.0,585,1175.109614
1640.0,2455,1196.190803
1160.0,1853,1212.379131
1320.0,2274,1231.646992
1000.0,1918,1248.266935
1040.0,1788,1263.60747
760.0,1711,1278.301051
235.0,1098,1288.031349
1820.0,2171,1306.871712
1040.0,1784,1321.810952
1200.0,1957,1339.111997
385.0,1650,1352.951148
1240.0,1986,1370.435134
2810.0,3401,1399.421554
1360.0,2653,1422.464685
3285.0,3191,1450.196923
1520.0,2344,1470.40066
3420.0,3233,1498.301045
2020.0,2604,1520.360092
1200.0,1872,1536.215688
3130.0,2900,1561.25369
2000.0,2705,1584.56427
820.0,1854,1600.214967
1080.0,2024,1617.833671
2375.0,3146,1644.698684
4300.0,3876,1677.901811
4390.0,3814,1709.943113
1060.0,1658,1724.360775
960.0,1775,1739.830182
1400.0,2466,1760.980449
540.0,1536,1774.121778
920.0,2037,1791.807496
140.0,610,1796.601074
1720.0,2232,1815.57665
2080.0,2588,1837.831798
2750.0,2264,1856.804568
355.0,1297,1867.978112
820.0,1706,1882.695186
1740.0,1897,1899.009897
3495.0,3244,1926.898875
2240.0,2330,1947.022852
1660.0,2545,1969.158334
1500.0,1824,1984.864887
1540.0,2108,2002.935524
295.0,1196,2013.535713
2670.0,3309,2041.33832
2845.0,2939,2066.838115
1520.0,2173,2085.688199
340.0,1381,2097.411669
385.0,1316,2108.388251
1520.0,2049,2125.991446
4710.0,3649,2157.201753
1300.0,1955,2173.78435
3215.0,2987,2199.173049
1760.0,2559,2221.065174
760.0,1339,2232.897638
1780.0,2171,2251.03929
340.0,1354,2262.886409
5680.0,4054,2297.692551
370.0,1163,2307.424123
2530.0,2947,2332.762493
2165.0,2762,2356.743754
340.0,1283,2367.75023
2525.0,3509,2397.86542
3795.0,3322,2426.422944
4350.0,3752,2458.345654
7020.0,5567,2505.752436
2695.0,2997,2531.344022
4285.0,3560,2562.204992
480.0,1384,2574.237761
2340.0,2273,2593.401604
2765.0,2640,2616.337251
2080.0,2145,2634.475013
2000.0,2894,2659.912976
460.0,1502,2672.544279
3415.0,3992,2707.386106
740.0,1382,2718.629552
1520.0,1877,2734.817368
1740.0,2324,2754.764477
3080.0,3016,2780.312507
1460.0,2391,2801.093348
1860.0,2062,2818.882101
620.0,1830,2834.680984
5170.0,4025,2869.338911
2485.0,2621,2891.376333
1220.0,2365,2911.916058
2200.0,2218,2930.857489
2325.0,2796,2954.999332
4105.0,3349,2983.178397
1700.0,1854,2998.726105
540.0,1293,3009.833719
4580.0,3747,3042.352313
5410.0,4220,3079.046571
110.0,638,3084.476221
1040.0,1752,3099.301637
2790.0,3054,3125.490214
4850.0,3789,3158.085283
5600.0,3944,3192.110723
1540.0,2007,3209.666879
960.0,1783,3224.697955
385.0,1236,3235.604949
5220.0,3851,3268.500275
4190.0,3104,3294.896507
4730.0,3810,3327.631334
205.0,889,3334.923809
3340.0,2947,3360.294368
4210.0,4128,3395.359452
3500.0,3167,3422.778904
5270.0,4193,3458.744056
1360.0,2128,3477.345003
2975.0,3442,3507.063318
1860.0,2355,3526.931155
980.0,1780,3542.183847
4840.0,3726,3574.086128
2360.0,3065,3600.187277
3780.0,3872,3634.139581
960.0,1630,3647.897464
7485.0,3881,3681.386447
2275.0,2640,3704.316192
1040.0,1626,3717.89938
1140.0,1845,3734.136782
6935.0,4217,3769.632711
3820.0,2780,3793.824117
1600.0,2236,3812.874643
1780.0,1884,3829.325936
2435.0,2216,3848.28553
150.0,641,3853.861087
1240.0,1667,3868.352286
600.0,1640,3882.105259
6350.0,4599,3921.723554
2830.0,2522,3943.798796
1620.0,2127,3961.857749
4910.0,4062,3997.27662
2140.0,2240,4016.325202
150.0,688,4021.806627
800.0,1808,4037.246317
4290.0,3174,4064.786442
1040.0,1752,4080.223228
3990.0,2926,4104.921165
1420.0,1751,4120.283761
2690.0,2390,4140.423995
6400.0,4190,4176.460411
800.0,1561,4189.596744
5130.0,3608,4220.673975
5590.0,4007,4255.339188
5550.0,3881,4288.908967
1840.0,2094,4306.945259
3545.0,2402,4327.75682
6550.0,4075,4362.915971
6945.0,5277,4408.117316
6040.0,3702,4439.549006
3965.0,3267,4467.941226
6040.0,3434,4497.302191
4920.0,3237,4525.442469
1960.0,2432,4546.069134
5250.0,3380,4575.577678
1440.0,1974,4592.267153
6850.0,4346,4629.763743
6760.0,4282,4666.483361
5725.0,3676,4697.681393
2200.0,2492,4719.202003
5480.0,3376,4748.217207
2950.0,2572,4770.238633
2555.0,2448,4791.310677
1400.0,1973,4808.130711
6060.0,3788,4840.817231
4970.0,3195,4867.988829
4650.0,3208,4895.757139
4860.0,3741,4927.891741
4045.0,3124,4955.269601
6100.0,3502,4985.457698
4245.0,3073,5012.102194
5390.0,3823,5044.40021
4830.0,3790,5077.306679
4960.0,3283,5105.289762
2535.0,2232,5124.794923
4450.0,3587,5155.360926
1440.0,1576,5169.16632
2645.0,2506,5190.579406
4530.0,3558,5221.518335
2935.0,2718,5245.061566
7490.0,4589,5284.634893
2240.0,2565,5306.806553
5970.0,3937,5341.097395
6130.0,4089,5376.260639
7260.0,4834,5417.820951
4970.0,3538,5448.881805
6280.0,3596,5478.949831
4650.0,3499,5509.363823
6830.0,4451,5547.37174
7060.0,4916,5589.583987
5430.0,3661,5621.178708
4880.0,3267,5649.186185
5660.0,3750,5681.377115
5750.0,3854,5714.740163
620.0,1456,5727.315051
120.0,583,5732.091514
5780.0,3689,5764.049801
5590.0,3596,5795.104343
5840.0,3806,5827.747367
1060.0,1838,5843.477481
4950.0,3887,5876.826489
3705.0,3079,5903.633802
7060.0,4422,5942.057637
4820.0,3307,5969.720982
1220.0,2149,5988.392615
6670.0,3972,6022.147663
2100.0,2086,6039.76529
8155.0,4373,6077.322477
5530.0,3563,6108.022422
3720.0,3076,6134.38054
7375.0,4098,6169.050342
2925.0,2285,6188.638926
2415.0,2001,6205.804488
5210.0,3454,6235.151239
8655.0,4676,6275.873011
7130.0,4316,6312.9158
9280.0,5042,6356.226095
6980.0,4689,6397.16267
7615.0,3964,6431.744717
5760.0,3457,6461.74077
8405.0,4773,6503.145415
7365.0,4970,6545.669185
7470.0,4894,6587.767694
7665.0,4205,6624.159198
5080.0,3883,6657.724612
7610.0,4622,6697.432198
1360.0,1738,6712.197797
5940.0,3745,6744.269126
7930.0,4705,6784.948251
5870.0,3651,6816.036905
6735.0,4566,6855.685262
4190.0,3243,6883.319107
5530.0,3572,6914.383707
940.0,1335,6925.727438
2040.0,2249,6944.629263
1580.0,1693,6959.699511
5140.0,3388,6988.578982
2800.0,2673,7011.74693
4680.0,3507,7042.017343
8365.0,4120,7077.4789
8170.0,4581,7116.791958
6740.0,3770,7149.409711
7340.0,4461,7187.43443
8360.0,5260,7232.835798
8380.0,4520,7271.54215
5190.0,3249,7299.390805
