# {"t_start": 1543100617.2369754, "env_id": "QbertNoFrameskip-v0"} 
r,l,t
275.0,390,24.87061
250.0,396,28.422715
1250.0,603,34.159227
175.0,323,37.335039
350.0,411,41.024523
600.0,504,45.622376
450.0,693,51.891999
350.0,443,55.784767
200.0,335,59.018836
225.0,311,61.668264
325.0,428,65.497077
250.0,368,68.940907
125.0,295,71.46694
375.0,381,74.97409
225.0,347,78.292487
225.0,370,81.737508
650.0,447,85.525327
300.0,372,88.882309
250.0,329,91.528136
375.0,367,94.989625
375.0,449,99.377111
350.0,436,103.235973
275.0,327,105.962939
300.0,391,109.658897
450.0,490,114.46151
350.0,368,117.970702
325.0,456,121.948682
700.0,571,127.680444
175.0,286,130.241192
500.0,574,135.36112
675.0,408,139.152424
375.0,377,142.614989
650.0,440,146.91311
375.0,447,150.752326
650.0,477,155.249518
325.0,355,158.208947
600.0,347,161.769481
675.0,465,165.752632
700.0,602,171.444798
275.0,417,175.168303
450.0,722,181.953372
725.0,613,187.652929
700.0,478,191.620516
325.0,398,195.141512
250.0,327,198.385403
375.0,332,201.113954
675.0,422,204.844879
250.0,327,208.037052
650.0,427,211.867651
625.0,406,215.601746
650.0,522,220.465476
350.0,527,225.273193
675.0,571,231.018863
750.0,416,234.713043
650.0,403,238.332992
475.0,413,242.073811
700.0,422,245.962328
475.0,472,250.548199
250.0,355,253.46361
700.0,406,257.620515
350.0,393,261.263076
650.0,409,265.007633
675.0,400,268.6191
275.0,346,271.430325
275.0,300,274.482402
375.0,379,277.48447
375.0,420,281.725075
625.0,318,284.428444
750.0,659,290.490944
375.0,392,294.057486
350.0,400,297.71764
375.0,401,301.337885
675.0,402,305.021243
400.0,432,308.841256
650.0,442,313.197583
675.0,435,316.936597
675.0,480,321.428447
675.0,435,325.266999
725.0,512,330.011131
650.0,417,333.716093
700.0,436,338.058337
650.0,458,342.000378
1250.0,646,347.915047
675.0,481,352.481876
675.0,395,356.089052
675.0,417,359.795732
675.0,496,364.406839
700.0,519,369.131615
675.0,421,372.860217
650.0,408,376.545658
600.0,390,380.213657
650.0,409,384.039556
625.0,408,387.750429
675.0,475,392.238704
700.0,402,395.857824
450.0,403,399.507208
650.0,437,403.41071
350.0,433,407.269069
650.0,406,411.508586
700.0,423,415.461176
725.0,432,419.276
400.0,400,422.869769
375.0,395,426.447975
725.0,401,429.970586
650.0,350,433.346762
475.0,425,437.081914
700.0,430,440.802999
325.0,362,444.210297
350.0,398,447.787973
350.0,316,450.454744
275.0,302,453.524749
300.0,410,457.202655
375.0,406,460.9213
375.0,319,463.689575
800.0,466,468.260404
400.0,433,472.170318
350.0,373,475.701472
725.0,395,479.33734
400.0,422,483.192647
725.0,392,486.814157
700.0,404,490.498699
775.0,426,494.862637
750.0,412,498.719807
225.0,316,501.456226
300.0,332,504.713357
375.0,415,508.2981
400.0,469,512.24783
725.0,404,515.822275
450.0,445,520.140448
725.0,396,523.745468
375.0,400,527.347261
650.0,410,530.982098
450.0,407,534.632965
450.0,425,538.36538
425.0,360,541.736056
350.0,303,544.320544
425.0,396,547.925218
775.0,389,551.476653
675.0,328,554.729714
350.0,320,557.393772
375.0,311,560.007353
300.0,333,563.275584
300.0,328,566.010518
375.0,397,569.604044
350.0,314,572.774015
425.0,524,577.512288
725.0,522,582.199898
725.0,420,585.881585
400.0,410,589.512022
475.0,522,594.25951
725.0,526,598.998296
425.0,548,603.882648
325.0,320,607.063802
725.0,402,610.668411
725.0,427,614.378804
775.0,571,619.292159
775.0,535,624.60296
650.0,435,628.407969
750.0,454,632.276271
750.0,482,636.806579
800.0,486,641.389886
700.0,414,645.037928
700.0,404,648.641514
750.0,389,652.175463
425.0,440,656.005164
775.0,421,659.696378
375.0,427,663.917326
450.0,432,667.643743
750.0,385,671.141783
750.0,388,674.647291
450.0,401,678.244071
450.0,521,682.955103
425.0,413,686.602802
750.0,404,690.215097
750.0,474,694.698189
750.0,389,698.203028
750.0,420,701.873775
750.0,400,705.460754
525.0,423,709.187339
750.0,499,713.819228
775.0,542,718.68386
775.0,402,722.271768
775.0,529,727.037286
1275.0,494,731.623084
750.0,402,735.263806
475.0,419,738.943615
775.0,450,743.288702
775.0,567,748.260899
750.0,385,751.763675
1000.0,728,758.111868
800.0,601,763.706921
725.0,456,768.103849
500.0,628,773.425052
975.0,536,778.297635
800.0,520,783.036037
925.0,447,787.337219
725.0,473,791.308306
775.0,532,796.563461
825.0,622,801.860429
1000.0,736,808.797853
450.0,532,813.695042
950.0,598,819.340483
375.0,402,822.683549
450.0,539,827.216491
400.0,437,830.744198
775.0,482,834.976393
350.0,400,838.376638
1300.0,755,845.138206
775.0,536,849.772797
450.0,535,854.362248
475.0,614,859.793946
775.0,478,863.667423
875.0,792,870.58729
425.0,439,874.740932
500.0,421,878.228686
775.0,646,883.997358
1250.0,621,889.686141
750.0,484,893.548654
775.0,523,898.017503
775.0,555,903.207641
350.0,414,906.84961
775.0,536,911.575942
800.0,448,915.139538
700.0,400,918.466507
1275.0,816,925.954081
400.0,401,929.369733
400.0,485,933.342066
775.0,423,936.880062
775.0,475,941.200373
475.0,530,945.765229
475.0,437,949.345265
775.0,674,955.480473
450.0,450,959.11397
1000.0,641,964.731382
775.0,533,969.469166
475.0,572,974.377201
800.0,616,980.015853
1025.0,841,987.617326
475.0,551,992.429156
800.0,602,997.885407
775.0,477,1001.662274
725.0,577,1006.925214
775.0,477,1010.768971
525.0,495,1015.077032
525.0,489,1019.416655
750.0,607,1024.283984
775.0,565,1029.526692
750.0,432,1033.207821
800.0,580,1037.983701
800.0,595,1043.474483
1300.0,613,1048.968167
825.0,583,1053.746799
475.0,468,1058.068076
1025.0,697,1063.956351
675.0,468,1068.210079
800.0,538,1072.770313
1300.0,539,1077.396026
800.0,605,1082.942378
800.0,444,1086.676606
275.0,312,1089.181859
800.0,543,1093.830577
800.0,633,1099.447735
475.0,509,1103.896962
800.0,510,1108.219111
1225.0,565,1112.948793
1050.0,602,1118.412426
800.0,570,1123.11743
800.0,553,1128.291436
800.0,607,1133.157609
800.0,577,1138.321244
475.0,437,1141.893872
825.0,532,1146.534478
975.0,485,1150.888018
800.0,579,1155.639033
475.0,480,1160.120381
450.0,437,1163.826976
475.0,450,1167.933066
500.0,514,1172.381369
450.0,489,1176.275944
1300.0,642,1181.964093
775.0,425,1186.084786
1025.0,605,1191.114971
800.0,446,1195.320957
1300.0,573,1200.06393
800.0,633,1205.657264
800.0,564,1210.299141
800.0,625,1215.718594
800.0,559,1220.514791
800.0,553,1225.223396
775.0,494,1229.553986
500.0,540,1234.060367
800.0,494,1238.36793
500.0,477,1242.67996
550.0,477,1246.438443
775.0,491,1250.764992
500.0,529,1255.261967
550.0,575,1260.408587
1300.0,564,1265.148393
4175.0,923,1273.009694
4125.0,745,1279.582594
4100.0,626,1285.082219
4550.0,970,1293.2006
3750.0,638,1298.651686
800.0,605,1304.103615
4325.0,974,1312.386405
550.0,545,1317.022583
3975.0,765,1323.699655
800.0,608,1329.042566
4250.0,911,1336.799515
4375.0,878,1344.665416
3950.0,734,1350.585804
50.0,307,1353.467632
750.0,495,1357.237829
4725.0,916,1365.615131
3850.0,825,1372.650778
525.0,637,1378.158238
4150.0,767,1384.864584
4200.0,713,1390.777595
4150.0,697,1397.147657
1300.0,812,1404.017629
575.0,561,1408.549806
325.0,469,1412.767265
650.0,508,1417.203084
4175.0,709,1422.982801
800.0,495,1427.288785
4200.0,1058,1436.15958
475.0,429,1439.626404
4300.0,723,1446.071063
4625.0,753,1452.658177
4475.0,973,1460.623693
4125.0,638,1466.171339
4250.0,963,1474.389264
4125.0,647,1479.89308
525.0,524,1484.364269
4700.0,1031,1493.50584
4725.0,995,1502.189768
800.0,536,1506.833044
4025.0,880,1514.621728
4175.0,631,1520.220931
4100.0,682,1525.910581
4425.0,1034,1534.955372
4150.0,815,1541.714301
4225.0,744,1548.37189
4225.0,842,1555.947124
4550.0,1021,1564.319232
3975.0,824,1571.799773
4125.0,791,1578.437195
4175.0,680,1584.152055
4225.0,785,1590.886863
500.0,703,1597.218062
4875.0,845,1604.195724
3975.0,722,1610.65765
575.0,600,1615.445206
4300.0,1250,1626.36265
4275.0,719,1632.206155
4100.0,647,1637.97776
4225.0,809,1645.47729
4950.0,1124,1654.998815
4425.0,942,1663.57618
825.0,533,1668.114175
1275.0,838,1675.095292
4250.0,978,1683.628345
800.0,571,1688.45189
4750.0,840,1695.878343
4400.0,1081,1705.237361
575.0,394,1708.726875
575.0,633,1714.220412
1325.0,817,1721.138121
800.0,575,1725.954661
4200.0,810,1733.188584
1400.0,703,1738.907722
800.0,689,1744.636945
775.0,608,1750.11624
4600.0,1074,1759.315006
4400.0,1094,1769.292411
575.0,568,1773.855605
1050.0,667,1779.571574
4025.0,920,1787.631993
4625.0,1021,1796.63631
4450.0,833,1804.232592
4350.0,1094,1813.601317
4575.0,946,1821.532307
4025.0,948,1830.256779
4300.0,816,1837.39614
4250.0,771,1844.071504
4325.0,902,1851.891713
4375.0,944,1859.953803
4600.0,899,1867.638244
4100.0,837,1875.329686
4225.0,862,1882.572722
800.0,534,1887.234467
4150.0,829,1894.904996
275.0,368,1898.179968
4225.0,740,1904.282521
4225.0,853,1911.712964
4250.0,800,1918.603095
4275.0,770,1925.257132
4225.0,830,1932.228866
1300.0,685,1938.432486
4750.0,864,1945.705815
800.0,603,1951.137697
1075.0,679,1956.98044
4525.0,911,1964.997585
525.0,612,1970.615261
750.0,561,1975.234123
575.0,641,1980.669105
750.0,478,1985.068207
4300.0,873,1992.132768
4975.0,931,2000.611995
750.0,467,2004.311376
750.0,471,2008.556059
775.0,565,2013.218321
4425.0,863,2020.775506
4300.0,897,2028.563754
4300.0,836,2035.452416
4775.0,1000,2044.309007
4850.0,822,2051.184769
4875.0,811,2057.964802
4175.0,693,2064.212453
4325.0,847,2071.295605
4300.0,784,2078.072982
4275.0,709,2084.577978
4200.0,728,2090.459892
4850.0,932,2099.096002
4725.0,983,2107.113298
4200.0,664,2112.860288
4375.0,1130,2122.708375
4425.0,961,2130.912403
4300.0,895,2138.550784
4275.0,779,2145.216373
4275.0,667,2151.021351
4775.0,838,2158.594373
4325.0,968,2166.67184
800.0,555,2171.890767
4400.0,885,2179.483337
4200.0,765,2185.494115
5000.0,945,2193.855007
4375.0,898,2201.587932
4700.0,971,2209.919751
4250.0,781,2216.871136
4350.0,911,2224.817856
4300.0,794,2231.556456
4475.0,1066,2241.120476
4275.0,766,2247.212155
4275.0,834,2254.640412
4450.0,1090,2263.866158
4750.0,932,2271.918382
4300.0,790,2279.103511
4525.0,924,2287.077302
500.0,525,2291.627989
4425.0,946,2299.853543
800.0,537,2304.381192
4350.0,820,2311.408416
8300.0,1309,2323.387475
4800.0,1059,2332.542113
4075.0,645,2338.112183
4525.0,963,2346.35839
4475.0,949,2354.312781
3825.0,631,2359.824931
750.0,508,2364.377172
8125.0,1222,2375.251859
800.0,706,2381.259143
1275.0,641,2387.375452
4925.0,1237,2398.442885
4925.0,866,2405.600621
750.0,529,2410.189608
750.0,458,2414.435009
4525.0,1020,2423.469044
4250.0,728,2429.418216
4350.0,870,2437.34053
4525.0,1067,2446.379994
4350.0,803,2453.289273
550.0,531,2458.450697
4450.0,828,2465.452477
4900.0,928,2473.361814
4525.0,916,2481.25314
4425.0,930,2489.248915
4400.0,824,2496.587937
4400.0,894,2504.543582
575.0,565,2509.387152
