# {"t_start": 1543887710.339359, "env_id": "SpaceInvadersNoFrameskip-v0"} 
r,l,t
600.0,1044,16.307312
370.0,639,24.304124
180.0,557,30.765846
80.0,323,35.122821
75.0,302,39.340603
105.0,503,46.254605
305.0,540,52.841291
350.0,1026,65.887928
480.0,722,75.871239
65.0,457,82.033968
495.0,738,91.153422
480.0,790,101.169149
365.0,739,111.43257
355.0,910,123.186499
465.0,876,133.77655
285.0,577,141.520488
325.0,645,150.45275
305.0,839,161.040677
440.0,884,171.838902
480.0,907,183.920305
355.0,740,193.676378
635.0,901,204.51134
570.0,1006,217.273832
1330.0,1863,241.126105
300.0,888,252.211974
575.0,927,264.812217
755.0,1128,278.458707
510.0,892,289.769162
455.0,897,301.682063
480.0,907,312.786646
695.0,946,324.168962
535.0,887,336.312947
520.0,1137,350.452298
605.0,1242,366.158524
1040.0,1854,389.740924
700.0,854,400.501182
835.0,1464,419.558417
585.0,1024,431.898796
600.0,984,444.725877
945.0,844,455.777411
690.0,995,467.887034
550.0,846,478.638015
745.0,892,490.549034
890.0,1472,508.321863
695.0,797,518.842357
725.0,919,530.73046
600.0,952,542.319623
545.0,933,554.358677
600.0,1178,569.745926
770.0,735,578.574992
470.0,775,588.494819
570.0,1054,602.572201
545.0,760,611.793765
570.0,880,622.691725
1175.0,1598,643.439676
515.0,779,652.942671
310.0,597,660.53942
800.0,985,673.688448
1330.0,2137,700.274594
430.0,776,710.811516
525.0,823,720.717519
675.0,995,733.210018
570.0,1034,746.927557
600.0,881,757.668518
600.0,938,769.21859
600.0,946,781.9206
675.0,1058,794.904478
1000.0,830,805.145494
805.0,910,817.327171
605.0,933,829.149462
500.0,847,839.308952
600.0,948,851.907092
715.0,834,862.493336
755.0,868,872.883005
545.0,935,885.091866
555.0,1022,898.442347
600.0,960,910.060077
570.0,715,919.263113
975.0,943,931.846549
600.0,966,943.433014
525.0,1002,956.096562
750.0,919,968.308805
560.0,762,977.66475
505.0,735,986.578222
525.0,917,998.975794
600.0,977,1011.225433
570.0,901,1022.180193
540.0,910,1034.237812
575.0,843,1045.059674
540.0,809,1054.908018
750.0,848,1065.686384
750.0,789,1076.391186
575.0,846,1086.61516
550.0,882,1097.310103
495.0,1083,1111.933774
570.0,974,1123.927426
1230.0,1851,1147.573224
770.0,758,1157.112256
935.0,1384,1173.954576
800.0,1044,1187.792673
555.0,828,1197.99756
1080.0,1750,1219.851286
600.0,820,1230.758481
545.0,714,1239.444993
600.0,879,1250.228013
570.0,1075,1264.137338
1175.0,1584,1283.691338
775.0,829,1293.970378
1145.0,1684,1315.636986
885.0,919,1326.816458
600.0,1036,1340.057468
545.0,816,1350.591093
570.0,933,1361.841303
570.0,831,1372.146171
540.0,891,1383.688283
1690.0,1917,1407.369669
570.0,660,1415.528169
1430.0,1792,1438.381392
490.0,826,1448.313164
605.0,819,1458.688472
720.0,791,1469.036476
555.0,866,1479.778507
1630.0,1769,1501.479631
545.0,803,1512.048432
725.0,787,1521.757396
600.0,872,1532.269421
1610.0,2121,1559.366126
845.0,1458,1577.027989
600.0,963,1589.582958
1170.0,1251,1605.216907
540.0,806,1614.972181
740.0,768,1625.032468
600.0,916,1636.951604
570.0,1043,1649.612239
570.0,682,1657.864638
570.0,819,1668.627944
600.0,874,1679.814661
740.0,794,1689.416325
220.0,494,1695.361808
1430.0,1896,1719.981758
515.0,794,1729.501083
570.0,885,1740.500368
545.0,681,1749.34179
545.0,826,1760.04243
550.0,773,1769.451776
1180.0,1709,1791.442649
600.0,1026,1804.216171
540.0,935,1815.763444
570.0,800,1826.41495
600.0,952,1838.553955
350.0,639,1846.206801
725.0,738,1855.541049
545.0,851,1866.915075
900.0,1325,1883.270712
575.0,703,1891.884604
770.0,872,1903.751282
525.0,854,1914.40096
545.0,663,1922.40977
455.0,792,1932.393222
740.0,894,1944.253563
485.0,615,1951.917
540.0,801,1961.640311
1180.0,1683,1983.697875
605.0,924,1994.86776
545.0,993,2007.05389
1375.0,1671,2028.839152
545.0,731,2037.73152
545.0,745,2046.82786
540.0,670,2055.343325
605.0,739,2065.45067
575.0,821,2075.453347
450.0,607,2082.795715
750.0,786,2092.460767
580.0,882,2104.013578
245.0,463,2109.910308
570.0,821,2119.964832
600.0,971,2131.757075
1570.0,1415,2149.965196
405.0,570,2156.864073
575.0,792,2166.543976
600.0,807,2176.367381
525.0,755,2185.340939
545.0,702,2194.480165
550.0,632,2202.545861
1635.0,1845,2224.713521
500.0,766,2233.937002
575.0,937,2245.838759
770.0,1009,2258.314669
575.0,829,2268.212993
600.0,1008,2280.355449
380.0,555,2287.411142
1330.0,1342,2304.466069
520.0,757,2313.560483
545.0,888,2324.15906
600.0,871,2335.755106
600.0,1026,2348.754504
645.0,808,2358.445432
600.0,871,2369.365874
600.0,978,2382.444745
600.0,777,2391.779021
600.0,854,2402.031271
575.0,755,2411.867266
1140.0,1472,2430.644097
1230.0,1747,2452.578952
550.0,692,2461.776248
930.0,725,2470.538582
600.0,921,2481.69031
1230.0,1727,2504.253736
550.0,811,2514.158397
520.0,774,2523.775434
735.0,826,2534.763541
600.0,943,2546.441688
550.0,671,2554.621234
1205.0,1860,2578.769045
660.0,627,2586.374197
745.0,688,2594.736512
605.0,892,2606.379678
1375.0,1882,2629.933576
1180.0,1907,2654.755415
1070.0,1424,2671.88256
415.0,655,2680.35522
600.0,1057,2694.270883
575.0,972,2706.127911
385.0,597,2713.295194
575.0,965,2726.267171
800.0,919,2737.703627
585.0,1039,2750.185806
685.0,710,2759.692082
185.0,383,2764.761774
600.0,1214,2779.903568
555.0,1041,2792.765173
605.0,907,2804.794572
570.0,837,2815.221053
805.0,1007,2827.382577
1635.0,1676,2849.283471
515.0,766,2858.669944
1640.0,1789,2881.804842
545.0,782,2891.489367
555.0,1009,2903.601706
550.0,750,2913.183375
600.0,1126,2927.850035
775.0,924,2939.091077
490.0,834,2949.562847
800.0,904,2961.666822
380.0,620,2969.322401
600.0,913,2980.297497
600.0,943,2992.252117
580.0,760,3002.501568
575.0,746,3011.580402
570.0,800,3021.298162
600.0,781,3031.280438
520.0,881,3043.186661
