# {"t_start": 1544047181.2451937, "env_id": "SpaceInvadersNoFrameskip-v0"} 
r,l,t
485.0,755,48.423139
575.0,1027,58.508204
615.0,774,66.017521
1360.0,1447,79.422674
830.0,1124,89.037597
285.0,436,93.17788
515.0,711,99.229796
395.0,547,103.940664
1020.0,1079,113.80242
380.0,660,119.589625
945.0,1381,131.764273
545.0,1005,140.254524
550.0,858,147.95764
540.0,877,155.846574
570.0,853,163.075788
250.0,457,167.379931
555.0,939,176.699037
750.0,1111,186.88536
545.0,917,194.990246
600.0,927,203.210859
600.0,802,210.262146
605.0,826,218.54889
600.0,884,226.761941
325.0,556,232.109568
515.0,898,240.570194
540.0,875,248.776772
920.0,1345,261.032583
600.0,849,269.072139
535.0,897,277.28375
585.0,765,284.425962
855.0,1295,296.359856
380.0,576,301.808432
600.0,811,308.875417
725.0,858,317.449484
600.0,938,326.042205
570.0,815,334.144015
700.0,711,341.033894
600.0,1011,350.731225
580.0,984,359.963788
745.0,909,368.537665
800.0,882,377.071053
1300.0,1565,392.303936
600.0,1002,401.108973
2030.0,2340,424.075951
445.0,841,432.227164
1120.0,1788,449.198264
515.0,975,458.550525
945.0,1370,471.039164
980.0,1426,484.688145
410.0,652,491.044191
575.0,896,499.226627
545.0,815,507.102047
435.0,685,513.881919
725.0,899,522.726968
590.0,1117,533.623513
575.0,902,543.122046
800.0,1110,553.467642
600.0,969,563.223981
1425.0,2209,583.874682
660.0,711,591.122528
965.0,1506,605.657031
575.0,950,614.768678
575.0,920,624.527634
800.0,791,632.130697
910.0,1293,644.896184
1105.0,1425,659.041749
545.0,851,667.554717
545.0,955,676.498232
600.0,931,685.433211
390.0,540,690.709809
545.0,808,698.633114
770.0,855,707.421885
960.0,1354,720.168213
1310.0,1593,734.377391
1360.0,1548,748.415681
575.0,1123,758.669295
605.0,1078,768.733031
740.0,1158,779.736967
605.0,813,787.875606
895.0,1116,799.145051
1120.0,1823,816.453722
515.0,681,822.377979
1130.0,1945,840.685022
545.0,801,847.658193
495.0,738,854.351013
1075.0,1663,868.722924
1040.0,1118,878.849136
250.0,420,882.470249
800.0,845,890.175246
600.0,842,897.605582
540.0,729,904.280266
580.0,721,910.925578
495.0,841,918.198597
545.0,729,924.842213
1050.0,1398,937.693961
1035.0,1403,950.527307
980.0,1264,961.888533
570.0,830,970.062549
605.0,787,977.132029
555.0,808,984.318347
575.0,837,992.024475
575.0,1017,1001.133855
545.0,703,1007.236423
575.0,903,1015.270909
600.0,922,1023.333351
885.0,1098,1033.294356
600.0,932,1041.568763
605.0,848,1049.335747
1175.0,1397,1061.449274
960.0,1326,1074.371439
880.0,973,1083.419536
810.0,1203,1094.665318
440.0,691,1100.783149
515.0,725,1107.051374
480.0,792,1114.596116
605.0,880,1122.047251
575.0,760,1129.138326
795.0,1073,1140.537458
690.0,1148,1152.107986
415.0,581,1157.433834
255.0,482,1162.211047
575.0,870,1170.124175
495.0,601,1176.162377
600.0,963,1185.614853
870.0,1107,1196.560091
605.0,790,1204.062731
555.0,833,1212.100915
965.0,1455,1225.438998
415.0,729,1232.226388
485.0,570,1237.133005
600.0,812,1244.33444
605.0,810,1252.074454
600.0,1070,1261.584458
575.0,880,1270.048359
570.0,960,1278.851531
1180.0,1648,1294.105025
830.0,1171,1304.431521
600.0,981,1313.287721
575.0,966,1321.603221
545.0,847,1329.257711
715.0,844,1336.522916
1130.0,1809,1352.539537
600.0,881,1360.442123
580.0,1053,1369.569853
575.0,944,1378.266199
540.0,994,1386.673517
515.0,811,1394.192302
1010.0,1495,1407.196499
805.0,918,1415.293133
595.0,815,1422.615927
600.0,894,1430.532049
575.0,981,1438.911469
605.0,878,1446.756814
800.0,879,1454.673069
545.0,785,1461.99075
585.0,1005,1471.136822
1175.0,1540,1484.951612
605.0,872,1492.803168
575.0,993,1501.224628
1175.0,1547,1514.990901
760.0,996,1523.908776
515.0,870,1531.742449
600.0,817,1538.80529
1095.0,1546,1552.676189
575.0,628,1558.292663
600.0,1007,1567.368873
445.0,637,1573.063258
600.0,945,1581.422652
890.0,1302,1592.967535
1405.0,1771,1608.800578
1100.0,1180,1619.277786
575.0,740,1626.095962
1080.0,1961,1643.357958
1360.0,1505,1656.747353
575.0,905,1664.738452
545.0,675,1670.623118
1250.0,1438,1683.271256
600.0,970,1692.139185
1550.0,1212,1702.579491
630.0,1030,1711.74449
580.0,717,1718.252084
290.0,499,1722.73862
605.0,1136,1732.379256
525.0,928,1740.925404
1205.0,1591,1754.931778
1230.0,1572,1768.66172
1060.0,1551,1782.087346
1115.0,1218,1793.117558
575.0,871,1800.361499
515.0,773,1807.233083
775.0,827,1814.851222
745.0,776,1821.691993
605.0,759,1828.366649
600.0,870,1835.765827
600.0,1024,1844.869362
575.0,787,1851.774357
600.0,1034,1860.9372
585.0,901,1868.888834
745.0,1051,1878.643305
575.0,794,1885.567993
600.0,800,1892.627446
515.0,755,1899.477906
740.0,936,1907.668539
575.0,851,1915.45632
785.0,1083,1924.844497
970.0,1306,1936.353884
600.0,879,1944.338028
1210.0,1388,1956.793498
600.0,889,1965.147995
1100.0,1131,1974.957569
540.0,736,1981.616755
510.0,696,1987.971786
800.0,861,1995.301858
545.0,580,2000.697108
605.0,787,2007.640785
515.0,748,2014.359324
570.0,901,2022.327622
550.0,727,2028.416017
455.0,606,2033.856829
600.0,803,2040.884154
1550.0,1572,2054.910487
570.0,846,2062.755488
720.0,1026,2071.893771
720.0,915,2079.977762
435.0,688,2085.889176
1405.0,1850,2102.611535
575.0,968,2110.942939
585.0,795,2117.930291
540.0,780,2124.819235
580.0,838,2132.496939
575.0,859,2140.245244
575.0,834,2147.40888
380.0,601,2152.935513
605.0,768,2159.761233
1355.0,1563,2173.570568
1235.0,1547,2187.335706
545.0,741,2193.951987
605.0,847,2201.14262
545.0,1132,2211.233809
605.0,913,2219.329859
545.0,798,2226.107288
1125.0,1644,2240.775848
1245.0,1149,2250.942842
1095.0,1455,2263.706443
605.0,792,2270.728818
545.0,904,2278.841699
575.0,713,2285.414803
1150.0,1523,2298.961137
600.0,750,2305.679918
645.0,932,2313.828832
1020.0,1347,2325.515924
800.0,927,2333.555928
545.0,579,2339.081169
540.0,813,2346.145388
830.0,1366,2358.37709
940.0,1338,2370.099735
745.0,713,2376.66798
600.0,799,2383.42894
515.0,822,2390.499043
245.0,438,2394.720083
1610.0,1868,2410.982437
815.0,1232,2422.088161
1340.0,1916,2439.075454
600.0,903,2447.084886
575.0,743,2453.760867
1020.0,1289,2465.223992
525.0,762,2472.007207
570.0,791,2478.979015
545.0,786,2485.981924
600.0,868,2493.750565
1080.0,1496,2506.50686
1055.0,1268,2517.921623
725.0,1109,2527.94703
545.0,919,2536.019891
900.0,1518,2549.563495
600.0,811,2556.685308
725.0,1221,2567.308768
905.0,1192,2578.230626
865.0,1181,2588.638529
1070.0,1271,2600.065879
575.0,949,2608.276786
850.0,1230,2619.444084
1170.0,1826,2635.611895
1025.0,1337,2647.216837
605.0,901,2655.033994
545.0,788,2662.179009
545.0,708,2668.895003
480.0,671,2674.764334
745.0,971,2683.326854
1230.0,1698,2698.957828
575.0,749,2705.25175
820.0,1103,2715.400647
